Counties,male,female,unknown_gender,Total_gender,Year
ALAMANCE ,986,953,0,1939,2017
ALEXANDER ,187,190,0,377,2017
ALLEGHANY ,53,49,0,102,2017
ANSON ,139,117,0,256,2017
ASHE ,100,116,0,216,2017
AVERY ,45,64,0,109,2017
BEAUFORT ,237,233,0,470,2017
BERTIE ,91,80,0,171,2017
BLADEN ,170,155,0,325,2017
BRUNSWICK ,537,470,0,1007,2017
BUNCOMBE ,1244,1148,0,2392,2017
BURKE ,501,426,0,927,2017
CABARRUS ,1376,1217,0,2593,2017
CALDWELL ,377,406,0,783,2017
CAMDEN ,46,43,0,89,2017
CARTERET ,287,280,0,567,2017
CASWELL ,112,92,0,204,2017
CATAWBA ,862,790,0,1652,2017
CHATHAM ,337,326,0,663,2017
CHEROKEE ,109,112,0,221,2017
CHOWAN ,68,66,0,134,2017
CLAY ,55,34,0,89,2017
CLEVELAND ,547,518,0,1065,2017
COLUMBUS ,282,296,0,578,2017
CRAVEN ,718,668,0,1386,2017
CUMBERLAND ,2840,2666,0,5506,2017
CURRITUCK ,127,130,0,257,2017
DARE ,169,175,0,344,2017
DAVIDSON ,902,860,0,1762,2017
DAVIE ,168,201,0,369,2017
DUPLIN ,318,335,0,653,2017
DURHAM ,2170,2012,0,4182,2017
EDGECOMBE ,335,296,0,631,2017
FORSYTH ,2149,2223,0,4372,2017
FRANKLIN ,393,326,0,719,2017
GASTON ,1392,1196,0,2588,2017
GATES ,55,45,0,100,2017
GRAHAM ,38,40,0,78,2017
GRANVILLE ,298,301,0,599,2017
GREENE ,109,96,0,205,2017
GUILFORD ,3183,3035,0,6218,2017
HALIFAX ,313,280,0,593,2017
HARNETT ,987,899,0,1886,2017
HAYWOOD ,321,296,0,617,2017
HENDERSON ,526,514,0,1040,2017
HERTFORD ,116,114,0,230,2017
HOKE ,456,424,0,880,2017
HYDE ,19,15,0,34,2017
IREDELL ,952,905,0,1857,2017
JACKSON ,194,178,0,372,2017
JOHNSTON ,1196,1122,0,2318,2017
JONES ,56,50,0,106,2017
LEE ,379,380,0,759,2017
LENOIR ,311,305,0,616,2017
LINCOLN ,405,401,0,806,2017
MCDOWELL ,254,203,0,457,2017
MACON ,180,159,0,339,2017
MADISON ,84,93,0,177,2017
MARTIN ,123,125,0,248,2017
MECKLENBURG ,7599,7147,0,14746,2017
MITCHELL ,66,69,0,135,2017
MONTGOMERY ,136,134,0,270,2017
MOORE ,573,536,0,1109,2017
NASH ,548,562,0,1110,2017
NEW HANOVER ,1163,1103,0,2266,2017
NORTHAMPTON ,96,104,0,200,2017
ONSLOW ,2049,2011,0,4060,2017
ORANGE ,625,554,0,1179,2017
PAMLICO ,39,34,0,73,2017
PASQUOTANK ,263,229,0,492,2017
PENDER ,330,328,0,658,2017
PERQUIMANS ,62,62,0,124,2017
PERSON ,231,212,0,443,2017
PITT ,1029,1022,0,2051,2017
POLK ,76,85,0,161,2017
RANDOLPH ,793,783,0,1576,2017
RICHMOND ,304,270,0,574,2017
ROBESON ,950,832,0,1782,2017
ROCKINGHAM ,426,434,0,860,2017
ROWAN ,806,782,0,1588,2017
RUTHERFORD ,340,349,0,689,2017
SAMPSON ,423,408,0,831,2017
SCOTLAND ,221,234,0,455,2017
STANLY ,389,343,0,732,2017
STOKES ,176,228,0,404,2017
SURRY ,346,392,0,738,2017
SWAIN ,68,84,0,152,2017
TRANSYLVANIA ,134,118,0,252,2017
TYRRELL ,24,14,0,38,2017
UNION ,1171,1211,0,2382,2017
VANCE ,287,297,0,584,2017
WAKE ,6426,6257,0,12683,2017
WARREN ,91,85,0,176,2017
WASHINGTON ,59,75,0,134,2017
WATAUGA ,206,192,0,398,2017
WAYNE ,855,756,0,1611,2017
WILKES ,345,304,0,649,2017
WILSON ,479,460,0,939,2017
YADKIN ,201,191,0,392,2017
YANCEY ,84,86,0,170,2017
